"","date","hour","power"
"458",20170120,1,1.1
"459",20170120,2,1.5
"460",20170120,3,0.75
"461",20170120,4,1.4
"462",20170120,5,1.1
"463",20170120,6,1.28
"464",20170120,7,1.5
"465",20170120,8,1.65
"466",20170120,9,1.5
"467",20170120,10,4.11904761904762
"468",20170120,11,6.87931034482759
"469",20170120,12,6.75
"470",20170120,13,7.13333333333333
"471",20170120,14,8.38333333333333
"472",20170120,15,9.25
"473",20170120,16,8.61666666666667
"474",20170120,17,6.04878048780488
"475",20170120,18,2.8695652173913
"476",20170120,19,0.85
"477",20170120,20,0.4
"478",20170120,21,0.35
"479",20170120,22,1.25
"480",20170120,23,1
"481",20170121,0,0.65
"482",20170121,1,1.5
"483",20170121,2,1
"484",20170121,3,0.75
"485",20170121,4,1
"486",20170121,5,2.15
"487",20170121,6,1.35
"488",20170121,7,0.75
"489",20170121,8,0.6
"490",20170121,9,0.4
"491",20170121,10,1.4
"492",20170121,11,2
"493",20170121,12,1.8
"494",20170121,13,4.85714285714286
"495",20170121,14,5.77777777777778
"496",20170121,15,5.27272727272727
"497",20170121,16,5.53061224489796
"498",20170121,17,3.45
"499",20170121,18,2.4
"500",20170121,19,0.4
"501",20170121,20,0.6
"502",20170121,21,1.1
"503",20170121,22,1.15
"504",20170121,23,1.1
"505",20170122,0,1.15
"506",20170122,1,0.85
"507",20170122,2,1.5
"508",20170122,3,1.15
"509",20170122,4,1.5
"510",20170122,5,0.5
"511",20170122,6,1.45
"512",20170122,7,2.48
"513",20170122,8,1.55
"514",20170122,9,0.9
"515",20170122,10,1.3
"516",20170122,11,3.95
"517",20170122,12,4.9
"518",20170122,13,4.5
"519",20170122,14,3.9
"520",20170122,15,2.9
"521",20170122,16,3.7
"522",20170122,17,3.05
"523",20170122,18,3
"524",20170122,19,2.85
"525",20170122,20,1.8
"526",20170122,21,1.35
"527",20170122,22,1.05
"528",20170122,23,0.1
"529",20170123,0,0.65
"530",20170123,1,20
"531",20170123,2,100
"532",20170123,3,100
"533",20170123,4,100
"534",20170123,5,100
"535",20170123,6,100
"536",20170123,7,100
"537",20170123,8,100
"538",20170123,9,100
"539",20170123,10,100
"540",20170123,11,100
"541",20170123,12,100
"542",20170123,13,100
"543",20170123,14,100
"544",20170123,15,100
"545",20170123,16,27.25
"546",20170123,17,3
"547",20170123,18,2.65
