"","shipID","work_time","start_time","end_time","date","moving_time","status","port","place1","place2","dist","turn","weight_lv","seven","day","pilotID","tug1","tug2","tug3","tug.cnt"
"12441","480738",41,2017-04-11 15:49:00,2017-04-11 08:30:00,2017-04-11 07:00:00,11.8818756855221,"1","2",NA,"1072",4692.22946222898,0,1,1,1,"75","104","163",NA,2
"12449","536083",39,2017-04-11 19:46:00,2017-04-11 12:25:00,2017-04-11 11:00:00,23.475246111864,"1","2",NA,"1074",5247.80073507149,0,1,0,1,"70","155",NA,NA,1
"12452","391247",53,2017-04-11 16:52:00,2017-04-11 09:45:00,2017-04-11 07:30:00,30.5891807721382,"1","2",NA,"1097",6521.57211451525,0,1,1,1,"95","163","171","104",3
"12454","391247",48,2017-04-11 16:52:00,2017-04-11 09:40:00,2017-04-11 07:30:00,30.5891807721382,"1","2",NA,"1097",6521.57211451525,0,1,1,1,"95","163","171","104",3
"12456","491969",35,2017-04-11 14:55:00,2017-04-11 07:30:00,2017-04-11 06:00:00,21.9769575743162,"1","2",NA,"1095",6588.53591706509,0,8,0,1,"99","153",NA,NA,1
"12465","367761",5,2017-04-12 17:05:00,2017-04-12 09:10:00,2017-04-12 08:30:00,4.87037904119639,"3","1",NA,"1061",6223.09688132476,0,1,0,1,"76","153","104",NA,2
"12466","535508",8,2017-04-12 20:42:00,2017-04-12 12:50:00,2017-04-12 12:30:00,9.84923595534923,"3","1",NA,"1051",4553.09416292005,0,1,0,1,"91","143",NA,NA,1
"12469","354953",40,2017-04-12 10:10:00,2017-04-12 02:50:00,2017-04-12 01:30:00,28.3477321814255,"1","1",NA,"1028",7099.44477502117,0,1,0,0,"99","145","241",NA,2
"12472","366773",40,2017-04-12 14:20:00,2017-04-12 07:00:00,2017-04-12 06:00:00,11.1774827863328,"2","1","1048","1035",778.741934146487,0,1,0,1,"99","145",NA,NA,1
"12473","374326",5,2017-04-12 14:55:00,2017-04-12 07:00:00,2017-04-12 06:30:00,11.1665312006815,"3","1",NA,"1042",2919.73486557041,0,1,0,1,"76","322",NA,NA,1
"12478","356298",43,2017-04-12 15:37:00,2017-04-12 08:20:00,2017-04-12 07:00:00,46.0383542581519,"1","1",NA,"1058",7724.10915705979,0,1,1,1,"97","101","245",NA,2
"12480","502502",51,2017-04-12 18:49:00,2017-04-12 11:40:00,2017-04-12 09:00:00,28.3477321814255,"1","2",NA,"4061",5366.05099581148,-1,1,0,1,"77","165","163",NA,2
"12487","375632",10,2017-04-12 15:25:00,2017-04-12 07:35:00,2017-04-12 07:00:00,-0.00323974082073434,"3","2",NA,"1096",4596.87723096209,0,8,1,1,"75","151",NA,NA,1
"12491","344982",41,2017-04-12 23:44:00,2017-04-12 16:25:00,2017-04-12 15:00:00,28.3477321814255,"1","1",NA,"1061",8075.09688132476,0,1,0,1,"72","104","155",NA,2
"12493","344982",46,2017-04-12 23:44:00,2017-04-12 16:30:00,2017-04-12 15:00:00,28.3477321814255,"1","1",NA,"1061",8075.09688132476,0,1,0,1,"72","104","155",NA,2
"12495","389838",20,2017-04-12 15:30:00,2017-04-12 07:50:00,2017-04-12 07:00:00,37.002574583602,"1","1",NA,"1042",4771.73486557041,0,1,1,1,"103","241",NA,NA,1
